window,task,feature_set,n_features,n_folds,score_mean,score_std,n_compressed,increment_over_baselines,variant,n_runs,n_groups,target_range
w5000,classification,baselines+topology_vector,688,5,0.8103259594436064,0.17245616938573788,656,,full,,,
w5000,classification,topology_vector_permuted,656,5,0.5200685436567789,0.09761658571748613,656,,full,,,
w5000,regression,weight_norm,2,5,-8.675236832071878,16.876452915060565,0,,full,72.0,16.0,1.374748346010104
w5000,regression,lid,2,5,-8.540759387138673,16.699582868140467,0,,full,72.0,16.0,1.374748346010104
w5000,regression,fourier,28,5,-62.428739023541695,123.9840140044101,0,,full,72.0,16.0,1.374748346010104
w5000,regression,topology,12,5,-9.227994952651867,17.754634123494256,0,,full,72.0,16.0,1.374748346010104
w5000,regression,baselines,32,5,-52.520396245013025,104.39085535739004,0,,full,72.0,16.0,1.374748346010104
w5000,regression,baselines+topology,44,5,-43.902099749627,87.018214929653,0,8.618296495386026,full,72.0,16.0,1.374748346010104
w5000,regression,topology_vector,656,5,-11.020169940919454,16.859743282907065,656,,full,72.0,16.0,1.374748346010104
w5000,regression,baselines+topology_vector,688,5,-81.2988579142199,158.30176547209146,656,,full,72.0,16.0,1.374748346010104
w5000,regression,topology_vector_permuted,656,5,-12.056381625994524,22.989704541950704,656,,full,72.0,16.0,1.374748346010104
w5000,regression,weight_norm,2,5,-7.851730981502786,14.83003498552882,0,,holdout,69.0,15.0,1.2218487496163566
w5000,regression,lid,2,5,-7.5253395649598955,14.511619948027922,0,,holdout,69.0,15.0,1.2218487496163566
w5000,regression,fourier,28,5,-124.56751385024253,247.605856110805,0,,holdout,69.0,15.0,1.2218487496163566
w5000,regression,topology,12,5,-8.995461357544905,17.139783483789408,0,,holdout,69.0,15.0,1.2218487496163566
w5000,regression,baselines,32,5,-95.5115195006683,189.60403610173387,0,,holdout,69.0,15.0,1.2218487496163566
w5000,regression,baselines+topology,44,5,-72.71645353952161,143.56288028063034,0,22.79506596114669,holdout,69.0,15.0,1.2218487496163566
w5000,regression,topology_vector,656,5,-12.076563962093193,18.19334985044369,656,,holdout,69.0,15.0,1.2218487496163566
w5000,regression,baselines+topology_vector,688,5,-115.2672471884428,225.49951453475617,656,,holdout,69.0,15.0,1.2218487496163566
w5000,regression,topology_vector_permuted,656,5,-9.390647130311658,17.388384285899146,656,,holdout,69.0,15.0,1.2218487496163566
w5000,regression,weight_norm,2,4,-0.2948406581183069,0.25142304751697764,0,,winsorised,72.0,16.0,1.374748346010104
w5000,regression,lid,2,4,-0.18528071429526596,0.4020395068295038,0,,winsorised,72.0,16.0,1.374748346010104
w5000,regression,fourier,28,4,-0.6504864201509133,0.9314150602886828,0,,winsorised,72.0,16.0,1.374748346010104
w5000,regression,topology,12,4,-0.4337231500173031,0.485784493509578,0,,winsorised,72.0,16.0,1.374748346010104
w5000,regression,baselines,32,4,-0.5554098587200119,0.9858682233699538,0,,winsorised,72.0,16.0,1.374748346010104
w5000,regression,baselines+topology,44,4,-0.6454276248488526,1.1511388094178874,0,-0.09001776612884071,winsorised,72.0,16.0,1.374748346010104
w5000,regression,topology_vector,656,4,-2.4691254624300076,2.2356348867668716,656,,winsorised,72.0,16.0,1.374748346010104
w5000,regression,baselines+topology_vector,688,4,-2.0549893012217755,1.526308100689929,656,,winsorised,72.0,16.0,1.374748346010104
w5000,regression,topology_vector_permuted,656,4,-0.6084753236949043,0.20902979311314274,656,,winsorised,72.0,16.0,1.374748346010104
