run,t_g,n_collapses,n_snapshots,n_contaminated,h1_max_persistence__ratio__all,h1_total_persistence__ratio__all,h1_max_persistence_normalised__ratio__all,h1_total_persistence_normalised__ratio__all,h0_total_persistence__ratio__all,lid__ratio__all,h1_max_persistence__ratio__clean,h1_total_persistence__ratio__clean,h1_max_persistence_normalised__ratio__clean,h1_total_persistence_normalised__ratio__clean,h0_total_persistence__ratio__clean,lid__ratio__clean
transformer_add113_f0.3_wd0.1_recipe-rC-2layer-lr3e-3_s2,11500.0,2,120,2,2.8562229502284207,2.881082479759039,10.478214193362946,11.24839792720237,0.27915600649571143,0.2796192836450343,2.8562229502284207,2.881082479759039,10.478690249107078,11.24839792720237,0.27915600649571143,0.2796192836450343
transformer_add113_f0.3_wd0.1_recipe-rC-2layer_s0,98500.0,1,120,0,0.9920967360977854,1.6609984502337851,4.271278839556073,6.975311943480882,0.2824505387082028,0.5689001962279885,,,,,,
transformer_add113_f0.3_wd0.1_recipe-rC-2layer_s1,90500.0,1,120,1,0.7701233187191038,1.468262585141795,1.2656729472070567,2.3118850376912263,0.6053105926389427,1.204431088645578,0.7802088857817854,1.5895499230607557,1.2751649779928227,2.3926626052878723,0.6082545146317583,1.2043518423103627
transformer_add113_f0.3_wd0.1_recipe-rC-2layer_s2,75500.0,0,120,0,1.0371969364178564,1.319705925898882,2.699799352728353,3.7325568194111853,0.3649834863383379,0.6103480779295591,,,,,,
transformer_add113_f0.3_wd0.1_recipe-rC-batch512_s0,,0,120,0,0.738984667797222,0.9971932865162348,0.8601058631534625,1.1155030360455163,0.8931805091390486,1.2023070625426882,,,,,,
transformer_add113_f0.3_wd0.1_recipe-rC-batch512_s1,,0,120,0,0.7718505897906612,0.9400402366184551,0.9478029472299394,1.0599058033607196,0.8691004908562534,1.2036341770929675,,,,,,
transformer_add113_f0.3_wd0.1_recipe-rC-batch512_s2,,0,120,0,0.9780505030925036,0.8739512197724039,1.0727221463281267,0.9513388838262784,0.9036544530937894,1.1190067899552647,,,,,,
transformer_add113_f0.3_wd0.1_recipe-rC-eps1e-6_s0,106500.0,0,120,0,0.4363528586753097,0.42500264509218133,1.231817673533907,1.1056716753011784,0.37849256731824515,1.043226353644963,,,,,,
transformer_add113_f0.3_wd0.1_recipe-rC-eps1e-6_s1,,1,120,0,0.4344946330555539,0.3628866284524794,0.9995872431650819,0.9535926789622087,0.38525004498877885,1.0794429890629937,,,,,,
transformer_add113_f0.3_wd0.1_recipe-rC-eps1e-6_s2,117500.0,1,120,0,0.3298277581076324,0.7151861148816666,1.0663952345579188,2.4596862718754258,0.314047807470446,1.2768086004682366,,,,,,
