window,task,feature_set,n_features,n_folds,score_mean,score_std,increment_over_baselines,variant,n_runs,n_groups,guarded,target_range
w5000,regression,lid,2,5,-0.18252413149344313,0.353279799644975,,winsorised,83,21,False,2.4539295920577286
w5000,regression,fourier,28,5,0.18742589032942084,0.2557198308478019,,winsorised,83,21,False,2.4539295920577286
w5000,regression,topology,12,5,-0.15612565615939067,0.5696430730445471,,winsorised,83,21,False,2.4539295920577286
w5000,regression,baselines,32,5,-0.2809809516334647,0.5900972586379358,,winsorised,83,21,False,2.4539295920577286
w5000,regression,baselines+topology,44,5,-0.32771112861147617,0.8829428010499378,-0.04673017697801146,winsorised,83,21,False,2.4539295920577286
tc,classification,weight_norm,2,5,0.609320987654321,0.20184584881774645,,full,124,30,True,
tc,classification,lid,2,5,0.5235185185185186,0.045093173537126933,,full,124,30,True,
tc,classification,fourier,28,5,0.5875925925925926,0.26299298501316193,,full,124,30,True,
tc,classification,topology,12,5,0.6987654320987653,0.11986328771864281,,full,124,30,True,
tc,classification,baselines,32,5,0.6308024691358025,0.22143760662085302,,full,124,30,True,
tc,classification,baselines+topology,44,5,0.6759876543209876,0.18239277374402063,0.045185185185185106,full,124,30,True,
tc,regression,weight_norm,2,5,-0.9229868737530775,1.1924655702599563,,full,81,20,True,2.4539295920577286
tc,regression,lid,2,5,0.023650610357595324,0.13529015738211467,,full,81,20,True,2.4539295920577286
tc,regression,fourier,28,5,0.13904316062810654,0.3504783283984385,,full,81,20,True,2.4539295920577286
tc,regression,topology,12,5,-0.46018942226187587,0.4702949860614475,,full,81,20,True,2.4539295920577286
tc,regression,baselines,32,5,-0.06410777852922556,0.4736126166407055,,full,81,20,True,2.4539295920577286
tc,regression,baselines+topology,44,5,-0.07985471375035977,0.5158117213345617,-0.015746935221134212,full,81,20,True,2.4539295920577286
tc,regression,weight_norm,2,5,-2.6215100721188307,4.822681647266736,,holdout,78,19,True,2.3010299956639813
tc,regression,lid,2,5,-0.3355075833584577,0.6028352703352463,,holdout,78,19,True,2.3010299956639813
tc,regression,fourier,28,5,-0.35853436175942044,1.0973352573125341,,holdout,78,19,True,2.3010299956639813
tc,regression,topology,12,5,-0.7063140282599115,1.5145584855298946,,holdout,78,19,True,2.3010299956639813
tc,regression,baselines,32,5,-0.6038002461759928,1.6186585661890376,,holdout,78,19,True,2.3010299956639813
tc,regression,baselines+topology,44,5,-0.6468748133898211,1.826955800127113,-0.043074567213828296,holdout,78,19,True,2.3010299956639813
tc,regression,weight_norm,2,5,-0.5775887695518807,0.6384505278494442,,winsorised,81,20,True,2.4539295920577286
tc,regression,lid,2,5,0.014451481174251457,0.10893223298502341,,winsorised,81,20,True,2.4539295920577286
tc,regression,fourier,28,5,-0.04175191917054166,0.20758726965792243,,winsorised,81,20,True,2.4539295920577286
tc,regression,topology,12,5,-0.2763575963303544,0.5063729449295326,,winsorised,81,20,True,2.4539295920577286
tc,regression,baselines,32,5,-0.17287355907567367,0.37056269055964647,,winsorised,81,20,True,2.4539295920577286
tc,regression,baselines+topology,44,5,-0.13908887916389043,0.45369806596217654,0.033784679911783244,winsorised,81,20,True,2.4539295920577286
tc,classification,weight_norm,2,5,0.6473083170890188,0.13023047024894419,,full,126,31,False,
tc,classification,lid,2,5,0.49904970760233924,0.046147447182196384,,full,126,31,False,
tc,classification,fourier,28,5,0.6110918209876542,0.1300079413620426,,full,126,31,False,
tc,classification,topology,12,5,0.6906522092267706,0.0714764422402733,,full,126,31,False,
tc,classification,baselines,32,5,0.6588405620532812,0.10452775269661155,,full,126,31,False,
tc,classification,baselines+topology,44,5,0.6703307748538012,0.05646509723865065,0.011490212800519983,full,126,31,False,
tc,regression,weight_norm,2,5,-0.5138502213455375,0.5930392961661094,,full,83,21,False,2.4539295920577286
tc,regression,lid,2,5,0.009372892179808034,0.18705752474626136,,full,83,21,False,2.4539295920577286
tc,regression,fourier,28,5,-0.3026461577520183,0.48164878755351764,,full,83,21,False,2.4539295920577286
tc,regression,topology,12,5,-0.17110756737677205,0.5901910989504597,,full,83,21,False,2.4539295920577286
tc,regression,baselines,32,5,-0.26991419572237535,0.5301058216182366,,full,83,21,False,2.4539295920577286
tc,regression,baselines+topology,44,5,-0.17773888196958515,0.5327394280480832,0.0921753137527902,full,83,21,False,2.4539295920577286
tc,regression,weight_norm,2,5,-0.3756571023716797,0.36307935614406533,,holdout,80,20,False,2.3010299956639813
tc,regression,lid,2,5,-0.08470995102223791,0.4599718393347131,,holdout,80,20,False,2.3010299956639813
tc,regression,fourier,28,5,-0.33446553165857773,0.5057952121345398,,holdout,80,20,False,2.3010299956639813
tc,regression,topology,12,5,-0.18012595602126633,0.4498875602850833,,holdout,80,20,False,2.3010299956639813
tc,regression,baselines,32,5,-0.45966816857429904,0.6014744412794083,,holdout,80,20,False,2.3010299956639813
tc,regression,baselines+topology,44,5,-0.12301052756484913,0.6369417712494339,0.3366576410094499,holdout,80,20,False,2.3010299956639813
tc,regression,weight_norm,2,5,-0.6049246910035551,0.684002516000751,,winsorised,83,21,False,2.4539295920577286
tc,regression,lid,2,5,-0.014325078286027203,0.1440961713750221,,winsorised,83,21,False,2.4539295920577286
tc,regression,fourier,28,5,-0.4068866580238607,0.4407002195777977,,winsorised,83,21,False,2.4539295920577286
tc,regression,topology,12,5,-0.27981644664320326,0.5943188219318346,,winsorised,83,21,False,2.4539295920577286
tc,regression,baselines,32,5,-0.4014597375276273,0.5083287493238908,,winsorised,83,21,False,2.4539295920577286
tc,regression,baselines+topology,44,5,-0.30108566133081993,0.5390990758419718,0.10037407619680738,winsorised,83,21,False,2.4539295920577286
