run,kind,landmarks,n_snapshots,t_g,h1_max_persistence_normalised__baseline,h1_max_persistence_normalised__plateau,h1_max_persistence_normalised__ratio,h1_max_persistence__baseline,h1_max_persistence__plateau,h1_max_persistence__ratio,t_top,lead_lag_steps,scale_collapse,condition,is_null
transformer_add113_f0.3_wd0.1_softmax_ce_s0,logits,113,120,13000.0,0.0904160625758068,0.1606182668910241,1.7764350969868683,5.1334075927734375,12.110992431640623,2.359250110723702,12101.0,899.0,0.0248335506085763,transformer add113 f0.3 wd0.1 lr0.003,False
transformer_add113_f0.3_wd0.1_softmax_ce_s1,logits,113,120,12000.0,0.1008693902326327,0.168975509078625,1.6751911426144317,5.379453659057617,9.668075561523438,1.7972225757991025,12605.0,-605.0,0.0335077344070787,transformer add113 f0.3 wd0.1 lr0.003,False
transformer_add113_f0.3_wd0.1_softmax_ce_s2,logits,113,120,14000.0,0.0991588639905971,0.1781720225742266,1.796834043914843,5.32666015625,12.858531951904297,2.413995181730681,14118.0,-118.0,0.0261715782735567,transformer add113 f0.3 wd0.1 lr0.003,False
transformer_add113_f0.3_wd0.1_softmax_ce_s3,logits,113,120,11500.0,0.0917841390381121,0.1546401446249189,1.6848242653418226,4.864356994628906,11.407478332519531,2.3451153657339225,10588.0,912.0,0.0315385690108473,transformer add113 f0.3 wd0.1 lr0.003,False
transformer_add113_f0.3_wd0.1_softmax_ce_s4,logits,113,120,10500.0,0.1039034769273575,0.1759429704631572,1.6933309227579072,5.429403305053711,11.468997955322266,2.112386446710797,9076.0,1424.0,0.0429666689298167,transformer add113 f0.3 wd0.1 lr0.003,False
transformer_add113_f0.3_wd0.1_softmax_ce_s0,logits,300,120,13000.0,0.1032370810007834,0.1892968440372941,1.8336129053848156,5.151065826416016,13.560531616210938,2.6325681078795338,13109.0,-109.0,0.0248024545675399,transformer add113 f0.3 wd0.1 lr0.003,False
transformer_add113_f0.3_wd0.1_softmax_ce_s1,logits,300,120,12000.0,0.1140229825854511,0.2088039594849553,1.8312444978228264,5.84698486328125,10.822002410888672,1.8508688946417944,11597.0,403.0,0.0306440313600426,transformer add113 f0.3 wd0.1 lr0.003,False
transformer_add113_f0.3_wd0.1_softmax_ce_s2,logits,300,120,14000.0,0.1164277516550603,0.2131061105698101,1.830372119537085,6.005104064941406,14.44220733642578,2.404988686331233,14118.0,-118.0,0.0243460503979364,transformer add113 f0.3 wd0.1 lr0.003,False
transformer_add113_f0.3_wd0.1_softmax_ce_s3,logits,300,120,11500.0,0.1044728473088564,0.1936012454382905,1.8531250025754635,5.709007263183594,13.15407371520996,2.3040912559418727,11597.0,-97.0,0.0301780037306767,transformer add113 f0.3 wd0.1 lr0.003,False
transformer_add113_f0.3_wd0.1_softmax_ce_s4,logits,300,120,10500.0,0.1132139515193894,0.2152633131544982,1.9013850348437973,5.4642333984375,12.784538269042969,2.339676462703572,10084.0,416.0,0.0373201976174,transformer add113 f0.3 wd0.1 lr0.003,False
transformer_add97_f0.3_wd1.0_softmax_ce_s0,embedding,0,126,27600.0,0.0584315169018026,0.0706502414472965,1.2091118833356342,0.007643811404705,0.0092487633228302,1.2099674930672997,4346.0,23254.0,154.95773723111853,transformer add97 f0.3 wd1 lr0.001,False
transformer_add97_f0.3_wd1.0_softmax_ce_s1,embedding,0,126,28600.0,0.0584840246447039,0.0530458238856271,0.9070139103436478,0.006496638059616,0.0056448206305503,0.8688833483951173,20999.0,7601.0,155.76754430569824,transformer add97 f0.3 wd1 lr0.001,False
transformer_add97_f0.3_wd1.0_softmax_ce_s2,embedding,0,126,30000.0,0.0583026021838426,0.0683087431041698,1.1716242593902646,0.0061917230486869,0.0067607015371322,1.0918934009113892,27963.0,2037.0,151.59202374065586,transformer add97 f0.3 wd1 lr0.001,False
transformer_add97_f0.3_wd1.0_softmax_ce_s3,embedding,0,126,34700.0,0.0611933523289211,0.0538884604790444,0.8806260554151023,0.0070372559130191,0.006394125521183,0.9086106289460992,4669.0,30031.0,148.12189807640584,transformer add97 f0.3 wd1 lr0.001,False
transformer_add97_f0.3_wd1.0_softmax_ce_s4,embedding,0,126,25700.0,0.0653940586524716,0.0709804387819134,1.0854264170867556,0.0072547979652881,0.0061548128724098,0.8483782597197866,34663.0,-8963.0,176.2315026017566,transformer add97 f0.3 wd1 lr0.001,False
transformer_add97_f0.3_wd1.0_softmax_ce_s0,hidden,97,126,27600.0,0.0724729640457292,0.060047374575611,0.8285486231489327,0.4446046352386474,0.4244179725646972,0.9545963737802357,1115.0,26485.0,0.3622870277917228,transformer add97 f0.3 wd1 lr0.001,False
