run,t_g,grokked,model,operation,modulus,train_fraction,label_permutation,loss,optimizer,lr,weight_decay,dominance__baseline,dominance__plateau,share__baseline,share__plateau,n_bars__baseline,n_bars__plateau,dominance__ratio,share__ratio
transformer_add97_permuted_s4,,False,transformer,add,97,0.3,True,softmax_ce,adamw,0.001,1.0,1.4856911540359574,1.625779660810692,0.04667850259918009,0.05129454310991077,69.0,68.5,1.0942918091651666,1.0988900725965396
transformer_compose120_f0.6_wd1.0_softmax_ce_s0,15900.0,True,transformer,compose,120,0.6,False,softmax_ce,adamw,0.001,1.0,1.6825461923548266,1.1949356315717035,0.039963358050794,0.003412380315796679,89.5,481.0,0.7101948445761942,0.08538772721400176
transformer_compose120_f0.6_wd1.0_softmax_ce_s1,36300.0,True,transformer,compose,120,0.6,False,softmax_ce,adamw,0.001,1.0,1.7772236313243632,1.3610025436817161,0.030913500207473157,0.005204194094651903,119.0,457.0,0.7658026371546248,0.16834697008505753
transformer_compose120_f0.6_wd1.0_softmax_ce_s10,35100.0,True,transformer,compose,120,0.6,False,softmax_ce,adamw,0.001,1.0,1.597647719536412,1.7415067600737255,0.038747999778039076,0.015558756060955165,80.0,240.0,1.0900442812130429,0.4015370122349719
transformer_compose120_f0.6_wd1.0_softmax_ce_s11,23400.0,True,transformer,compose,120,0.6,False,softmax_ce,adamw,0.001,1.0,1.7588895660128792,1.624568079480328,0.036625038777194766,0.00917041355802588,103.0,345.0,0.9236327913201303,0.2503864532079622
transformer_compose120_f0.6_wd1.0_softmax_ce_s12,18800.0,True,transformer,compose,120,0.6,False,softmax_ce,adamw,0.001,1.0,1.6934837897855515,1.3039287389027652,0.03376334935420288,0.0044591962870685065,112.0,456.0,0.769968243432601,0.1320720951078695
transformer_compose120_f0.6_wd1.0_softmax_ce_s13,46200.0,True,transformer,compose,120,0.6,False,softmax_ce,adamw,0.001,1.0,1.778449233384163,1.503847557575897,0.035218713406248665,0.0068135959616618166,106.0,418.0,0.8455948752128651,0.19346521501415542
transformer_compose120_f0.6_wd1.0_softmax_ce_s14,47100.0,True,transformer,compose,120,0.6,False,softmax_ce,adamw,0.001,1.0,1.6987423497502676,1.4570593014273852,0.030129105966709327,0.005212517422766812,120.0,431.0,0.857728249161262,0.17300604367505293
transformer_compose120_f0.6_wd1.0_softmax_ce_s2,89700.0,True,transformer,compose,120,0.6,False,softmax_ce,adamw,0.001,1.0,1.705024293614621,1.8324325519149356,0.03262596627794505,0.024399245257975842,107.0,168.5,1.0747251864841243,0.7478474369192731
transformer_compose120_f0.6_wd1.0_softmax_ce_s3,83200.0,True,transformer,compose,120,0.6,False,softmax_ce,adamw,0.001,1.0,1.8069404611883075,1.7015438669366703,0.05004567278594302,0.00971079386328956,79.5,324.0,0.9416712412414935,0.19403863156810547
transformer_compose120_f0.6_wd1.0_softmax_ce_s4,17100.0,True,transformer,compose,120,0.6,False,softmax_ce,adamw,0.001,1.0,1.6743618748131135,1.9144036253490808,0.03530604469654647,0.02021126221373809,100.0,221.0,1.1433631248697418,0.5724589765705218
transformer_compose120_f0.6_wd1.0_softmax_ce_s5,30600.0,True,transformer,compose,120,0.6,False,softmax_ce,adamw,0.001,1.0,1.6308861894791702,1.7107690200956283,0.037539836284232055,0.013437852715938468,97.0,261.0,1.0489812416904265,0.3579624752274906
transformer_compose120_f0.6_wd1.0_softmax_ce_s6,42300.0,True,transformer,compose,120,0.6,False,softmax_ce,adamw,0.001,1.0,1.8081149683985691,1.7072765193350137,0.044565880897054794,0.011013200849719244,85.0,331.0,0.9442300678740206,0.247121803227883
transformer_compose120_f0.6_wd1.0_softmax_ce_s7,38700.0,True,transformer,compose,120,0.6,False,softmax_ce,adamw,0.001,1.0,2.224319098170231,1.2701384416549968,0.04490027103702829,0.004738478677622891,82.0,462.0,0.5710234843102493,0.10553340922408173
transformer_compose120_f0.6_wd1.0_softmax_ce_s8,17300.0,True,transformer,compose,120,0.6,False,softmax_ce,adamw,0.001,1.0,1.6743927962964575,1.1516319440539708,0.042582819251268125,0.00386963644049422,92.0,370.5,0.6877907899515772,0.09087318567755426
transformer_compose120_f0.6_wd1.0_softmax_ce_s9,16800.0,True,transformer,compose,120,0.6,False,softmax_ce,adamw,0.001,1.0,1.4624895514070773,1.7032424711473957,0.03338664924835396,0.018541207775051867,97.0,189.0,1.1646185571094765,0.5553479667015698
transformer_compose97_f0.4_wd1.0_softmax_ce_s0,,False,transformer,compose,120,0.4,False,softmax_ce,adamw,0.001,1.0,1.7640041966857594,1.9197729557385532,0.03252747549047077,0.044561397538902876,113.0,96.0,1.0883040750954305,1.3699617590045547
transformer_compose97_f0.4_wd1.0_softmax_ce_s1,,False,transformer,compose,120,0.4,False,softmax_ce,adamw,0.001,1.0,1.6045978797987779,1.7313614607783356,0.03839269753992726,0.048208804918050095,82.0,74.0,1.0790002171730741,1.2556764178373863
transformer_compose97_f0.5_wd1.0_softmax_ce_s0,100000.0,True,transformer,compose,120,0.5,False,softmax_ce,adamw,0.001,1.0,1.7187176756727907,1.8471739141505445,0.04009948863701929,0.028764056491343223,87.0,132.0,1.0747395807327518,0.7173172892980149
