run,condition,t_g,window,projection_dim,projection_seed,step,ph_dim,slope,r2,n_sizes
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,1,20980,1.2101467947929294,0.1736539696648026,0.7765684102104726,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,1,21980,1.138306351862922,0.1215018712990343,0.9305774633684862,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,1,22980,1.0675836726853163,0.06330527003595098,0.3000047593421755,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,1,23980,1.0790068371798096,0.07322181329852277,0.36627140596224805,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,1,24980,1.1615427862206864,0.13907605310545507,0.7027867581603178,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,1,25980,1.0730208574946165,0.06805166645605765,0.36446523899238525,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,1,26980,1.0842565505860489,0.07770905376638723,0.4340648818136261,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,1,27980,1.190869622478072,0.16027751390693187,0.6262470162872471,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,1,28980,1.0856995995031293,0.0789349093822543,0.6845559151363863,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,1,29980,1.1104710845159045,0.09948127966255224,0.5798670990046597,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,1,30980,1.1012639333703518,0.09195246507387154,0.5652414923994542,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,1,31980,1.1330643181448437,0.11743756820681518,0.45755156527390695,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,1,32980,1.1531047165672248,0.1327760734714668,0.6328619252308865,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,1,33980,1.2476268473968515,0.1984782933402885,0.753081338544163,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,1,34980,1.1353105247470472,0.11918371388056576,0.8522195376567281,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,1,35980,1.1425306275008853,0.12474994023805708,0.40305169236231786,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,1,36980,1.201844581668184,0.16794566015184734,0.8764852094938345,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,1,37980,1.1558119300070289,0.13480733842752549,0.5481172639613211,8.0
transformer_add113_f0.3_wd0.1_dense_s0,transformer_add113_f0.3_wd0.1_dense,13000,100,64,1,38980,1.2121829858851538,0.1750420426254495,0.7304652587205539,8.0
