run,step,operator,n,test_acc
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,3030,add,6577,0.009578835219144821
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,3030,sub,6596,0.011522134765982628
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,3636,add,6577,0.015660636126995087
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,3636,sub,6596,0.019102485850453377
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,4242,add,6577,0.02417515590786934
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,4242,sub,6596,0.027592480182647705
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,4848,add,6577,0.03436217084527016
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,4848,sub,6596,0.0395694375038147
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,5455,add,6577,0.046373724937438965
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,5455,sub,6596,0.05366889014840126
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,6061,add,6577,0.06887638568878174
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,6061,sub,6596,0.07504548132419586
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,6667,add,6577,0.0963965356349945
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,6667,sub,6596,0.1008186787366867
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,7273,add,6577,0.12999847531318665
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,7273,sub,6596,0.14266221225261688
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,7879,add,6577,0.1920328438282013
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,7879,sub,6596,0.20330503582954407
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,8485,add,6577,0.2980082035064697
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,8485,sub,6596,0.29138872027397156
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,9091,add,6577,0.495058536529541
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,9091,sub,6596,0.45876288414001465
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,9697,add,6577,0.7377223372459412
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,9697,sub,6596,0.7084596753120422
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,10303,add,6577,0.9060361981391907
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,10303,sub,6596,0.8967556357383728
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,10909,add,6577,0.9787136912345886
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,10909,sub,6596,0.9736203551292419
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,11515,add,6577,0.9968070387840271
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,11515,sub,6596,0.9937841296195984
